consumo,fecha,findesemana,festivos,COVID,tmed,t-1
1952211,1570406400,0,0,0,18.320833333333333,1172617.0
2041004,1570492800,0,0,0,19.0,1952211.0
2007025,1570579200,0,0,0,18.445833333333333,2041004.0
1900300,1570665600,0,0,0,17.42083333333333,2007025.0
1902537,1570752000,0,0,0,18.933333333333334,1900300.0
1339236,1570838400,1,1,0,20.391666666666666,1902537.0
1172522,1570924800,1,0,0,20.454166666666666,1339236.0
1976703,1571011200,0,0,0,19.491666666666667,1172522.0
1893750,1571097600,0,0,0,14.720833333333331,1976703.0
1891263,1571184000,0,0,0,15.0875,1893750.0
1912751,1571270400,0,0,0,16.8125,1891263.0
1677293,1571356800,0,0,0,17.433333333333334,1912751.0
1262544,1571443200,1,0,0,18.23913043478261,1677293.0
1139269,1571529600,1,0,0,16.904545454545453,1262544.0
1781004,1571616000,0,0,0,13.330434782608696,1139269.0
1876738,1571702400,0,0,0,15.19,1781004.0
1876201,1571788800,0,0,0,14.395,1876738.0
1904210,1571875200,0,0,0,13.370833333333332,1876201.0
1850932,1571961600,0,0,0,14.643999999999998,1904210.0
1272156,1572048000,1,0,0,15.736,1850932.0
1118552,1572134400,1,0,0,16.084,1272156.0
1737534,1572220800,0,0,0,14.6,1118552.0
1817347,1572307200,0,0,0,15.976,1737534.0
1884792,1572393600,0,0,0,16.576,1817347.0
1883967,1572480000,0,0,0,16.32,1884792.0
2349140,1572566400,0,1,0,14.92,1883967.0
2291900,1572652800,1,0,0,16.984,2349140.0
2205722,1572739200,1,0,0,14.6,2291900.0
3239054,1572825600,0,0,0,15.604,2205722.0
3365371,1572912000,0,0,0,11.972,3239054.0
3306554,1572998400,0,0,0,11.032,3365371.0
3277053,1573084800,0,0,0,10.144,3306554.0
3274329,1573171200,0,0,0,8.196,3277053.0
2465668,1573257600,1,0,0,8.304,3274329.0
2287503,1573344000,1,0,0,8.464,2465668.0
3543165,1573430400,0,0,0,7.928,2287503.0
3436097,1573516800,0,0,0,9.664,3543165.0
3339988,1573603200,0,0,0,8.783999999999999,3436097.0
3339084,1573689600,0,0,0,6.684,3339988.0
3475599,1573776000,0,0,0,5.879166666666666,3339084.0
2514812,1573862400,1,0,0,6.354166666666667,3475599.0
2200520,1573948800,1,0,0,6.1000000000000005,2514812.0
3276041,1574035200,0,0,0,7.85,2200520.0
3291287,1574121600,0,0,0,5.932,3276041.0
3215394,1574208000,0,0,0,6.056,3291287.0
3144618,1574294400,0,0,0,8.024,3215394.0
2959934,1574380800,0,0,0,8.812000000000001,3144618.0
2027090,1574467200,1,0,0,10.164,2959934.0
1796038,1574553600,1,0,0,9.408,2027090.0
3057723,1574640000,0,0,0,9.732,1796038.0
3140335,1574726400,0,0,0,10.958333333333334,3057723.0
2976025,1574812800,0,0,0,12.770833333333334,3140335.0
2965277,1574899200,0,0,0,12.32,2976025.0
2974869,1574985600,0,0,0,12.456,2965277.0
2079872,1575072000,1,0,0,11.876,2974869.0
1031462,1575158400,1,0,0,11.01923076923077,2079872.0
1689425,1575244800,0,0,0,9.261538461538462,1031462.0
1780840,1575331200,0,0,0,7.4192307692307695,1689425.0
1857273,1575417600,0,0,0,9.83846153846154,1780840.0
1815617,1575504000,0,0,0,9.696153846153846,1857273.0
1211922,1575590400,0,1,0,10.476923076923075,1815617.0
1150246,1575676800,1,0,0,10.007692307692308,1211922.0
1086340,1575763200,1,0,0,7.816,1150246.0
1849101,1575849600,0,0,0,9.442307692307692,1086340.0
1946341,1575936000,0,0,0,7.842307692307693,1849101.0
1940022,1576022400,0,0,0,7.461538461538462,1946341.0
1960050,1576108800,0,0,0,6.707692307692308,1940022.0
1875011,1576195200,0,0,0,12.765384615384615,1960050.0
1339530,1576281600,1,0,0,10.938461538461535,1875011.0
1149042,1576368000,1,0,0,10.261538461538462,1339530.0
1805748,1576454400,0,0,0,8.384615384615385,1149042.0
1902144,1576540800,0,0,0,11.953846153846154,1805748.0
1809228,1576627200,0,0,0,11.765384615384615,1902144.0
1833641,1576713600,0,0,0,10.180769230769233,1809228.0
1686432,1576800000,0,0,0,12.553846153846154,1833641.0
1184844,1576886400,1,0,0,12.965384615384616,1686432.0
1063756,1576972800,1,0,0,12.038461538461538,1184844.0
1366888,1577059200,0,0,0,9.48076923076923,1063756.0
1273782,1577145600,0,0,0,10.003846153846156,1366888.0
1004408,1577232000,0,1,0,11.38846153846154,1273782.0
1074429,1577318400,0,1,0,10.680769230769233,1004408.0
1284216,1577404800,0,0,0,8.111538461538462,1074429.0
1108430,1577491200,1,0,0,8.534615384615385,1284216.0
1087886,1577577600,1,0,0,8.3,1108430.0
1416578,1577664000,0,0,0,7.95,1087886.0
1318729,1577750400,0,0,0,6.736000000000001,1416578.0
1840619,1577836800,0,1,0,6.443478260869565,1318729.0
2530835,1577923200,0,0,0,5.956,1840619.0
2742286,1578009600,0,0,0,5.944,2530835.0
2230244,1578096000,1,0,0,7.104,2742286.0
2008513,1578182400,1,0,0,7.612,2230244.0
2030825,1578268800,0,1,0,7.688,2008513.0
3203844,1578355200,0,0,0,7.552,2030825.0
3451551,1578441600,0,0,0,9.044,3203844.0
3467895,1578528000,0,0,0,8.068,3451551.0
3434642,1578614400,0,0,0,6.856,3467895.0
2471020,1578700800,1,0,0,4.972,3434642.0
2158102,1578787200,1,0,0,5.988,2471020.0
3507069,1578873600,0,0,0,5.38,2158102.0
3582975,1578960000,0,0,0,6.984,3507069.0
3430711,1579046400,0,0,0,7.024,3582975.0
3428057,1579132800,0,0,0,8.325000000000001,3430711.0
3315270,1579219200,0,0,0,9.591304347826089,3428057.0
2391528,1579305600,1,0,0,8.036,3315270.0
2047111,1579392000,1,0,0,7.516,2391528.0
3517278,1579478400,0,0,0,6.188,2047111.0
3581980,1579564800,0,0,0,6.891666666666667,3517278.0
3580901,1579651200,0,0,0,9.330434782608696,3581980.0
3533117,1579737600,0,0,0,8.804166666666667,3580901.0
3462167,1579824000,0,0,0,8.595833333333333,3533117.0
2369734,1579910400,1,0,0,8.008333333333333,3462167.0
1966873,1579996800,1,0,0,8.945833333333333,2369734.0
3151161,1580083200,0,0,0,7.879166666666666,1966873.0
3414242,1580169600,0,0,0,10.14090909090909,3151161.0
3459676,1580256000,0,0,0,9.34,3414242.0
3451577,1580342400,0,0,0,11.132,3459676.0
3403140,1580428800,0,0,0,12.504,3451577.0
1368022,1580515200,1,0,0,12.728,3403140.0
1204103,1580601600,1,0,0,13.536,1368022.0
1883556,1580688000,0,0,0,15.328,1204103.0
1934601,1580774400,0,0,0,12.832,1883556.0
1981143,1580860800,0,0,0,8.42,1934601.0
2040938,1580947200,0,0,0,8.088,1981143.0
1946369,1581033600,0,0,0,8.096,2040938.0
1406367,1581120000,1,0,0,8.788,1946369.0
1289236,1581206400,1,0,0,9.244,1406367.0
1899175,1581292800,0,0,0,13.012,1289236.0
1950338,1581379200,0,0,0,11.444,1899175.0
2003946,1581465600,0,0,0,9.808,1950338.0
1971092,1581552000,0,0,0,11.812,2003946.0
1984016,1581638400,0,0,0,10.608,1971092.0
1412962,1581724800,1,0,0,11.292,1984016.0
1204713,1581811200,1,0,0,12.044,1412962.0
1868608,1581897600,0,0,0,12.570833333333333,1204713.0
1963298,1581984000,0,0,0,8.983333333333333,1868608.0
2006955,1582070400,0,0,0,8.2,1963298.0
1987849,1582156800,0,0,0,9.248,2006955.0
1930023,1582243200,0,0,0,10.312,1987849.0
1373344,1582329600,1,0,0,10.732,1930023.0
1208373,1582416000,1,0,0,12.556,1373344.0
1847382,1582502400,0,0,0,13.048,1208373.0
1903979,1582588800,0,0,0,10.2875,1847382.0
1896455,1582675200,0,0,0,10.529166666666669,1903979.0
1915752,1582761600,0,0,0,10.744000000000002,1896455.0
1873233,1582848000,0,0,0,10.529166666666669,1915752.0
1326387,1582934400,1,0,0,12.656,1873233.0
1215322,1583020800,1,0,0,13.168,1326387.0
1922303,1583107200,0,0,0,10.224,1215322.0
1968828,1583193600,0,0,0,8.296,1922303.0
1920926,1583280000,0,0,0,10.484000000000002,1968828.0
1917233,1583366400,0,0,0,12.6,1920926.0
1855932,1583452800,0,0,0,8.636000000000001,1917233.0
1341991,1583539200,1,0,0,9.168,1855932.0
1230004,1583625600,1,0,0,10.1625,1341991.0
1903821,1583712000,0,0,0,11.012,1230004.0
1949925,1583798400,0,0,0,10.04,1903821.0
1917192,1583884800,0,0,0,13.204,1949925.0
1897608,1583971200,0,0,0,14.908,1917192.0
1839894,1584057600,0,0,0,13.576,1897608.0
1335727,1584144000,1,0,0,12.275,1839894.0
1159383,1584230400,1,0,2,11.184,1335727.0
1575150,1584316800,0,0,2,10.820833333333333,1159383.0
1492713,1584403200,0,0,2,11.86,1575150.0
1399856,1584489600,0,0,2,11.968,1492713.0
1405800,1584576000,0,0,2,10.844,1399856.0
1408966,1584662400,0,0,2,10.188,1405800.0
1099797,1584748800,1,0,2,10.004,1408966.0
1113528,1584835200,1,0,2,11.272,1099797.0
1348972,1584921600,0,0,2,11.356,1113528.0
1328984,1585008000,0,0,2,9.592,1348972.0
1330919,1585094400,0,0,2,6.896,1328984.0
1308211,1585180800,0,0,2,5.5520000000000005,1330919.0
1308722,1585267200,0,0,2,6.68,1308211.0
1104723,1585353600,1,0,2,11.336,1308722.0
1031258,1585440000,1,0,2,12.04,1104723.0
1258595,1585526400,0,0,2,7.747999999999999,1031258.0
1322209,1585612800,0,0,2,8.68,1258595.0
1204868,1585699200,0,0,2,8.4,1322209.0
1174811,1585785600,0,0,2,9.841666666666669,1204868.0
1194418,1585872000,0,0,2,9.9125,1174811.0
1059616,1585958400,1,0,2,10.979166666666666,1194418.0
1010864,1586044800,1,0,2,10.679166666666667,1059616.0
1177798,1586131200,0,0,2,11.620833333333332,1010864.0
1199939,1586217600,0,0,2,12.2625,1177798.0
1165431,1586304000,0,0,2,13.154166666666669,1199939.0
1129911,1586390400,0,0,2,13.3,1165431.0
1052852,1586476800,0,1,2,13.483333333333334,1129911.0
1081747,1586563200,1,0,2,12.983333333333334,1052852.0
1065108,1586649600,1,0,2,13.020833333333334,1081747.0
1101250,1586736000,0,1,2,10.8,1065108.0
1311472,1586822400,0,0,2,14.041666666666666,1101250.0
1376328,1586908800,0,0,2,13.1125,1311472.0
1360597,1586995200,0,0,2,15.408333333333331,1376328.0
1329492,1587081600,0,0,2,15.520833333333334,1360597.0
1126457,1587168000,1,0,2,15.583333333333334,1329492.0
1046977,1587254400,1,0,2,14.15,1126457.0
1285811,1587340800,0,0,2,14.775,1046977.0
1336741,1587427200,0,0,2,12.5,1285811.0
1334407,1587513600,0,0,2,12.720833333333331,1336741.0
1341635,1587600000,0,0,2,15.045833333333334,1334407.0
1311952,1587686400,0,0,2,15.329166666666666,1341635.0
1109485,1587772800,1,0,2,14.520833333333334,1311952.0
1062793,1587859200,1,0,2,15.2125,1109485.0
1370014,1587945600,0,0,2,14.225,1062793.0
1410587,1588032000,0,0,2,14.482608695652177,1370014.0
1398630,1588118400,0,0,2,14.070833333333333,1410587.0
1330454,1588204800,0,0,2,16.104166666666668,1398630.0
1087080,1588291200,0,1,2,17.966666666666665,1330454.0
1155978,1588377600,1,0,2,18.941666666666663,1087080.0
1186054,1588464000,1,0,2,18.2375,1155978.0
1572782,1588550400,0,0,2,18.979166666666668,1186054.0
1569723,1588636800,0,0,2,19.216666666666665,1572782.0
1581836,1588723200,0,0,2,19.541666666666668,1569723.0
1531428,1588809600,0,0,2,18.90833333333333,1581836.0
1523408,1588896000,0,0,2,18.120833333333334,1531428.0
1173421,1588982400,1,0,2,15.4375,1523408.0
1148067,1589068800,1,0,2,14.745833333333332,1173421.0
1488812,1589155200,0,0,2,16.650000000000002,1148067.0
1462277,1589241600,0,0,2,15.020833333333334,1488812.0
1483605,1589328000,0,0,2,17.065217391304348,1462277.0
1477376,1589414400,0,0,2,13.934782608695652,1483605.0
1429792,1589500800,0,0,2,15.156521739130437,1477376.0
1122181,1589587200,1,0,2,16.556521739130435,1429792.0
1030984,1589673600,1,0,2,16.83478260869565,1122181.0
1445529,1589760000,0,0,2,17.57391304347826,1030984.0
1497342,1589846400,0,0,2,19.613636363636363,1445529.0
1520729,1589932800,0,0,2,20.35,1497342.0
1575176,1590019200,0,0,2,21.730434782608697,1520729.0
1559618,1590105600,0,0,2,22.10869565217392,1575176.0
